"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\sanctum.php", "PHP", 0, 0, 15, 0, 0, 0, 41, 12, 68
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\services.php", "PHP", 0, 0, 17, 0, 0, 0, 11, 7, 35
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\session.php", "PHP", 0, 0, 22, 0, 0, 0, 147, 33, 202
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\view.php", "PHP", 0, 0, 10, 0, 0, 0, 20, 7, 37
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\factories\UserFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 11, 5, 41
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 26, 0, 0, 0, 6, 4, 36
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 6, 4, 29
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 6, 4, 33
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 6, 4, 34
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_11_150534_create_categories_table.php", "PHP", 0, 0, 20, 0, 0, 0, 6, 4, 30
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_11_150608_create_products_table.php", "PHP", 0, 0, 24, 0, 0, 0, 6, 4, 34
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_12_164836_create_today_specials_table.php", "PHP", 0, 0, 20, 0, 0, 0, 6, 4, 30
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_14_170634_create_testimonials_table.php", "PHP", 0, 0, 21, 0, 0, 0, 6, 4, 31
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_15_150809_create_admins_table.php", "PHP", 0, 0, 18, 0, 0, 0, 6, 4, 28
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_16_011944_create_orders_table.php", "PHP", 0, 0, 25, 0, 0, 0, 6, 4, 35
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_16_122130_create_order_product_table.php", "PHP", 0, 0, 22, 0, 0, 0, 6, 4, 32
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_17_005929_create_tables_table.php", "PHP", 0, 0, 21, 0, 0, 0, 6, 4, 31
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_17_010354_create_bookings_table.php", "PHP", 0, 0, 28, 0, 0, 0, 6, 4, 38
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_17_170642_create_inboxes_table.php", "PHP", 0, 0, 22, 0, 0, 0, 6, 4, 32
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_22_060015_add_quantity_column_to_order_product_table.php", "PHP", 0, 0, 19, 0, 0, 0, 6, 4, 29
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_22_075806_add_delivery_type_column_to_orders_table.php", "PHP", 0, 0, 19, 0, 0, 0, 6, 4, 29
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 8, 5, 23
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\package.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 2, 1, 32
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\admin-unauthenticated.css", "CSS", 0, 89, 0, 0, 0, 0, 2, 12, 103
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\admin.css", "CSS", 0, 769, 0, 0, 0, 0, 20, 139, 928
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\main.css", "CSS", 0, 1354, 0, 0, 0, 0, 29, 93, 1476
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\modal.css", "CSS", 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\index.php", "PHP", 0, 0, 14, 0, 0, 0, 30, 12, 56
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\carousel.js", "JavaScript", 47, 0, 0, 0, 0, 0, 4, 6, 57
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\charts.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 0, 4
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\dropdown.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\modal.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 14, 62
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\swiper.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 3, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
